rect,N,M,estimate,rel_error
wide,42100,4419,0.944679334917,0.000171673972503
wide,42600,4545,0.960211267606,0.0166159832139
wide,43100,4514,0.942598607889,0.00203127909103
wide,43600,4566,0.94252293578,0.0021113963297
wide,44100,4618,0.942448979592,0.00218969685094
wide,44600,4636,0.935515695067,0.00953025626911
wide,45100,4739,0.945698447894,0.00125065166811
wide,45600,4670,0.921710526316,0.0241463680324
wide,46100,4785,0.934164859002,0.0109604431257
wide,46600,5012,0.967982832618,0.0248440653795
wide,47100,5093,0.973184713376,0.0303515149373
wide,47600,5017,0.948592436975,0.00431463941172
wide,48100,4871,0.911413721414,0.0350480276907
wide,48600,5104,0.945185185185,0.000707238889555
wide,49100,5106,0.935926680244,0.00909512900698
wide,49600,5209,0.945181451613,0.000703285999828
wide,50100,5271,0.946886227545,0.00250820385358
wide,50600,5422,0.964387351779,0.0210373788596
wide,51100,5317,0.936457925636,0.00853267720669
wide,51600,5437,0.948313953488,0.0040197972526
wide,52100,5541,0.957178502879,0.0134050678681
wide,52600,5527,0.945684410646,0.00123578984517
wide,53100,5516,0.934915254237,0.0101659681851
wide,53600,5727,0.961623134328,0.0181107857901
wide,54100,5774,0.960554528651,0.016979408094
wide,54600,5693,0.938406593407,0.00646954082371
wide,55100,5735,0.936751361162,0.00822200469602
wide,55600,5837,0.944838129496,0.000339796460806
wide,56100,5862,0.940427807487,0.00432959661707
wide,56600,5891,0.936731448763,0.00824308678809
wide,57100,5860,0.923642732049,0.0221006606995
wide,57600,5989,0.93578125,0.00924910211257
wide,58100,6102,0.945232358003,0.000757182732782
wide,58600,6185,0.949914675768,0.00571454913583
wide,59100,6289,0.957715736041,0.0139738591718
wide,59600,6397,0.965989932886,0.0227340987618
wide,60100,6346,0.950316139767,0.00613959592707
wide,60600,6275,0.931930693069,0.0133258483996
wide,61100,6398,0.942422258592,0.00221798749485
wide,61600,6486,0.94762987013,0.0032955294799
wide,62100,6529,0.946231884058,0.00181542293153
wide,62600,6528,0.938530351438,0.00633851300023
wide,63100,6518,0.929667194929,0.0157223089135
wide,63600,6874,0.972735849057,0.0298762834371
wide,64100,6693,0.939734789392,0.00506332397047
wide,64600,6707,0.934411764706,0.0106990336909
wide,65100,6749,0.933041474654,0.0121498172997
wide,65600,6882,0.944176829268,0.000360349855198
wide,66100,6872,0.93567322239,0.00936347547845
