dataset_type,n,algorithm,avg_time_us,avg_char_comparisons,runs,sorted_ok
reverse_sorted,100,msd_radix_quick_sort,3.904,1004.000,5,1
reverse_sorted,200,standard_quicksort,23.728,2154.000,5,1
reverse_sorted,200,standard_mergesort,9.675,1299.000,5,1
reverse_sorted,200,string_quicksort,8.917,3877.000,5,1
reverse_sorted,200,string_mergesort_lcp,21.240,3174.000,5,1
reverse_sorted,200,msd_radix_sort,13.400,481.000,5,1
reverse_sorted,200,msd_radix_quick_sort,7.596,2114.000,5,1
reverse_sorted,300,standard_quicksort,22.160,3378.000,5,1
reverse_sorted,300,standard_mergesort,15.209,2060.000,5,1
reverse_sorted,300,string_quicksort,13.444,5268.000,5,1
reverse_sorted,300,string_mergesort_lcp,36.697,5074.000,5,1
reverse_sorted,300,msd_radix_sort,26.691,718.000,5,1
reverse_sorted,300,msd_radix_quick_sort,11.526,3115.000,5,1
reverse_sorted,400,standard_quicksort,30.245,4811.000,5,1
reverse_sorted,400,standard_mergesort,20.183,2841.000,5,1
reverse_sorted,400,string_quicksort,16.936,7440.000,5,1
reverse_sorted,400,string_mergesort_lcp,50.547,7070.000,5,1
reverse_sorted,400,msd_radix_sort,26.344,965.000,5,1
reverse_sorted,400,msd_radix_quick_sort,14.512,4199.000,5,1
reverse_sorted,500,standard_quicksort,40.269,6074.000,5,1
reverse_sorted,500,standard_mergesort,29.838,3710.000,5,1
reverse_sorted,500,string_quicksort,21.266,9757.000,5,1
reverse_sorted,500,string_mergesort_lcp,67.482,9319.000,5,1
reverse_sorted,500,msd_radix_sort,31.938,1203.000,5,1
reverse_sorted,500,msd_radix_quick_sort,17.446,5312.000,5,1
reverse_sorted,600,standard_quicksort,46.576,7484.000,5,1
reverse_sorted,600,standard_mergesort,31.869,4443.000,5,1
reverse_sorted,600,string_quicksort,27.072,11866.000,5,1
reverse_sorted,600,string_mergesort_lcp,78.864,11160.000,5,1
reverse_sorted,600,msd_radix_sort,39.978,1444.000,5,1
reverse_sorted,600,msd_radix_quick_sort,22.228,6419.000,5,1
reverse_sorted,700,standard_quicksort,62.354,9036.000,5,1
reverse_sorted,700,standard_mergesort,36.091,5225.000,5,1
reverse_sorted,700,string_quicksort,34.454,14558.000,5,1
reverse_sorted,700,string_mergesort_lcp,91.058,13207.000,5,1
reverse_sorted,700,msd_radix_sort,43.688,1683.000,5,1
reverse_sorted,700,msd_radix_quick_sort,32.012,7569.000,5,1
reverse_sorted,800,standard_quicksort,116.235,10608.000,5,1
reverse_sorted,800,standard_mergesort,46.420,6115.000,5,1
reverse_sorted,800,string_quicksort,46.424,16565.000,5,1
reverse_sorted,800,string_mergesort_lcp,161.523,15527.000,5,1
reverse_sorted,800,msd_radix_sort,51.602,1935.000,5,1
reverse_sorted,800,msd_radix_quick_sort,29.453,8718.000,5,1
reverse_sorted,900,standard_quicksort,73.093,12135.000,5,1
reverse_sorted,900,standard_mergesort,49.441,7046.000,5,1
reverse_sorted,900,string_quicksort,53.579,18982.000,5,1
reverse_sorted,900,string_mergesort_lcp,145.939,17967.000,5,1
reverse_sorted,900,msd_radix_sort,76.372,2193.000,5,1
reverse_sorted,900,msd_radix_quick_sort,42.753,9863.000,5,1
reverse_sorted,1000,standard_quicksort,111.660,13566.000,5,1
reverse_sorted,1000,standard_mergesort,70.705,8063.000,5,1
reverse_sorted,1000,string_quicksort,65.374,21057.000,5,1
reverse_sorted,1000,string_mergesort_lcp,196.938,20574.000,5,1
reverse_sorted,1000,msd_radix_sort,86.939,2437.000,5,1
reverse_sorted,1000,msd_radix_quick_sort,48.491,10942.000,5,1
reverse_sorted,1100,standard_quicksort,120.273,14913.000,5,1
reverse_sorted,1100,standard_mergesort,82.838,8742.000,5,1
reverse_sorted,1100,string_quicksort,72.844,23857.000,5,1
reverse_sorted,1100,string_mergesort_lcp,256.173,22353.000,5,1
reverse_sorted,1100,msd_radix_sort,99.866,2673.000,5,1
reverse_sorted,1100,msd_radix_quick_sort,57.575,11961.000,5,1
reverse_sorted,1200,standard_quicksort,136.823,16504.000,5,1
reverse_sorted,1200,standard_mergesort,87.866,9497.000,5,1
reverse_sorted,1200,string_quicksort,99.604,26747.000,5,1
reverse_sorted,1200,string_mergesort_lcp,248.787,24322.000,5,1
reverse_sorted,1200,msd_radix_sort,99.054,2916.000,5,1
reverse_sorted,1200,msd_radix_quick_sort,55.276,13015.000,5,1
reverse_sorted,1300,standard_quicksort,133.278,18117.000,5,1
reverse_sorted,1300,standard_mergesort,93.591,10334.000,5,1
reverse_sorted,1300,string_quicksort,80.765,28557.000,5,1
reverse_sorted,1300,string_mergesort_lcp,211.778,26524.000,5,1
reverse_sorted,1300,msd_radix_sort,100.040,3160.000,5,1
reverse_sorted,1300,msd_radix_quick_sort,57.419,14079.000,5,1
reverse_sorted,1400,standard_quicksort,138.098,19761.000,5,1
